file,source,rights,use,preparation,bytes,sha256
images/pop-record.svg,Original project artwork,Original project artwork,Home genre cards / Explore image enlargement,Editable SVG,1247,63fdaef5444f5f8953c80dd1e0e4ba4b76fe2b45a65101471c6c4e67971e031d
images/the-clash.jpg,https://commons.wikimedia.org/wiki/File:Clash_21051980_12_800.jpg,Photo: Helge Øverås; CC BY-SA 4.0; https://creativecommons.org/licenses/by-sa/4.0/,Artist photo on Home / Explore,Downloaded unchanged; displayed at smaller sizes,150257,47cf4f52a6d4548a83acfa4d9faba67316ca8045d066ee10383e007396b07243
intro-video/captions.vtt,Original video script,Original project text,English captions,Timed caption file,644,2a4282776d414e1962e18d1442656f59798f60fd41e7e806d045712ef9b2d76f
intro-video/introduction.mp4,Original project script and title cards; ElevenLabs Alice narration,"Original visuals/text; AI-generated narration, not a student recording",Home introduction video,"H.264 720p, AAC audio and British narration; prepared for streaming",467646,b646644eff81d360784d8c7483495abb4934d0cbc23b6976d0ed71f5fa170446
intro-video/poster.jpg,Original first video title card,Original project artwork,Video poster,"1280 x 720 JPEG, quality 88",61943,ca61b8b4922f533166940639ce8e02e5ddcc68889a4d35accb8f663471667044
intro-video/video-text.txt,Original video script,Original project text,Written video text beside player,Plain text,421,0aca1c6da5f8e68a09a475505ddd9000f466797d244e55a2d180f85ee5d4edf3
licences/lucide.txt,https://github.com/lucide-icons/lucide/blob/main/LICENSE,Retain full notice,Attribution,Unchanged,3208,b495047bd93a9b06913511076f504daba17d5bbeb3e0650f3bb53a4220329c57
licences/photos.json,Wikimedia Commons file pages listed in this file,Photo credits and individual Creative Commons licences,Image source and copyright records,"Recorded author, source, licence and changes",2184,2bf60d322ef352e37a5909f5fc7aeac7cfdf551614bda982c302bbb40e724cdf
licences/photos.txt,Wikimedia Commons file pages listed in this file,Photo credits and individual Creative Commons licences,Image source and copyright records,"Recorded author, source, licence and changes",2161,a3a5aa214802d3616d848cb3123d8708b7754423ec03053ce77b04f6dc0a78ab
written-content/classic-tracks.json,Official artist YouTube uploads and song sources in assets/written-content/classic-tracks.json,Copyright retained by the music/video rights holders. External players and links only.,70s listening choices and songwriter credits,"Checked artist, year and official upload; kept recordings external",2690,b5d4913fd5f88307c135d641b69990fd4d43433fc5b6eb0df7ba4c017ba4a84f
written-content/page-copy.json,Original wording based on the linked artist sources in this file,Original project text; facts attributed to sources,Artist introductions and listening notes,Stored with source links,5831,03c4a9077635b94c7b50a934e767aeae887b91dc22f96ca584063818225fdadf
